species	genus	family	order	class	phylum	domain	clade_name
Eggerthella_lenta	Eggerthella	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta
Eubacteriaceae_bacterium_CHKCI004	Eubacteriaceae_unclassified	Eubacteriaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacteriaceae_unclassified|s__Eubacteriaceae_bacterium_CHKCI004
Clostridium_sp_chh4_2	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_chh4_2
Eisenbergiella_tayi	Eisenbergiella	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_tayi
Massilimicrobiota_timonensis	Massilimicrobiota	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Massilimicrobiota|s__Massilimicrobiota_timonensis
Veillonella_rogosae	Veillonella	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_rogosae
Lachnospiraceae_bacterium_NSJ_12	Lachnospiraceae_unclassified	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_NSJ_12
Lachnoclostridium_phocaeense	Lachnoclostridium	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_phocaeense
Coprobacillus_SGB6753	Coprobacillus	Coprobacillaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae|g__Coprobacillus|s__Coprobacillus_SGB6753
Merdimonas_faecis	Merdimonas	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Merdimonas|s__Merdimonas_faecis
GGB28640_SGB4673	GGB28640	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28640|s__GGB28640_SGB4673
GGB9523_SGB14922	GGB9523	FGB74461	OFGB74461	CFGB74461	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__CFGB74461|o__OFGB74461|f__FGB74461|g__GGB9523|s__GGB9523_SGB14922
Colibacter_massiliensis	Colibacter	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Colibacter|s__Colibacter_massiliensis
Solobacterium_moorei	Solobacterium	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_moorei
GGB3510_SGB4687	GGB3510	FGB9781	OFGB9781	CFGB9781	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__CFGB9781|o__OFGB9781|f__FGB9781|g__GGB3510|s__GGB3510_SGB4687
Massilicoli_timonensis	Massilicoli	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Massilicoli|s__Massilicoli_timonensis
Streptococcus_mitis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis
Dielma_fastidiosa	Dielma	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dielma|s__Dielma_fastidiosa
Holdemania_massiliensis	Holdemania	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_massiliensis
Anaerofustis_stercorihominis	Anaerofustis	Eubacteriaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Anaerofustis|s__Anaerofustis_stercorihominis
GGB3534_SGB4722	GGB3534	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3534|s__GGB3534_SGB4722
Prevotella_bergensis	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bergensis
Alloprevotella_SGB77721	Alloprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_SGB77721
Citrobacter_sp_RHBSTW_00671	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_sp_RHBSTW_00671
Clostridium_sp_1001271st1_H5	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_1001271st1_H5
Escherichia_marmotae	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_marmotae
Peptostreptococcus_stomatis	Peptostreptococcus	Peptostreptococcaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis
Blautia_glucerasea	Blautia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_glucerasea
GGB4456_SGB6141	GGB4456	Peptostreptococcaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__GGB4456|s__GGB4456_SGB6141
Mogibacterium_sp_BX12	Mogibacterium	Eubacteriales_Family_XIII_Incertae_Sedis	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_sp_BX12
Prevotella_corporis	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_corporis
Klebsiella_quasivariicola	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_quasivariicola
Longicatena_caecimuris	Longicatena	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Longicatena|s__Longicatena_caecimuris
Porphyromonas_uenonis	Porphyromonas	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_uenonis
Turicibacter_bilis	Turicibacter	Turicibacteraceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae|g__Turicibacter|s__Turicibacter_bilis
Blautia_SGB47659	Blautia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_SGB47659
Clostridium_scindens	Lachnoclostridium	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_scindens
Evtepia_gabavorous	Evtepia	Eubacteriales_unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Evtepia|s__Evtepia_gabavorous
GGB4593_SGB6353	GGB4593	FGB1765	OFGB1765	CFGB1765	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4593|s__GGB4593_SGB6353
Dorea_sp_AF24_7LB	Dorea	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_AF24_7LB
Hydrogeniiclostidium_mannosilyticum	Hydrogeniiclostidium	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Hydrogeniiclostidium|s__Hydrogeniiclostidium_mannosilyticum
GGB45656_SGB63370	GGB45656	Christensenellaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__GGB45656|s__GGB45656_SGB63370
Neglectibacter_timonensis	Neglectibacter	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Neglectibacter|s__Neglectibacter_timonensis
GGB2653_SGB3574	GGB2653	FGB1011	OFGB1011	CFGB1011	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011|f__FGB1011|g__GGB2653|s__GGB2653_SGB3574
Bacteroides_finegoldii	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii
Akkermansia_muciniphila	Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila
GGB6613_SGB9347	GGB6613	FGB2404	OFGB2404	CFGB2404	Proteobacteria	Bacteria	k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404|f__FGB2404|g__GGB6613|s__GGB6613_SGB9347
Bacteroides_faecis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis
GGB3550_SGB4746	GGB3550	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB3550|s__GGB3550_SGB4746
Lacrimispora_celerecrescens	Lacrimispora	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora_celerecrescens
Lachnoclostridium_edouardi	Lachnoclostridium	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_edouardi
GGB3363_SGB4447	GGB3363	Clostridia_unclassified	Clostridia_unclassified	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB3363|s__GGB3363_SGB4447
Anaeromassilibacillus_sp_An250	Anaeromassilibacillus	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_sp_An250
GGB9620_SGB15070	GGB9620	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9620|s__GGB9620_SGB15070
GGB9364_SGB14339	GGB9364	FGB12107	OFGB12107	CFGB12107	Actinobacteria	Bacteria	k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107|f__FGB12107|g__GGB9364|s__GGB9364_SGB14339
Prevotella_copri_clade_A	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_A
GGB4237_SGB5728	GGB4237	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__GGB4237|s__GGB4237_SGB5728
Butyrivibrio_crossotus	Butyrivibrio	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus
GGB41473_SGB58537	GGB41473	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB41473|s__GGB41473_SGB58537
GGB9480_SGB14874	GGB9480	FGB3012	OFGB3012	CFGB3012	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012|f__FGB3012|g__GGB9480|s__GGB9480_SGB14874
Porphyromonas_sp_HMSC065F10	Porphyromonas	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_sp_HMSC065F10
GGB781_SGB1024	GGB781	FGB343	OFGB343	CFGB343	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__CFGB343|o__OFGB343|f__FGB343|g__GGB781|s__GGB781_SGB1024
GGB3304_SGB4367	GGB3304	FGB1354	OFGB1354	CFGB1354	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354|f__FGB1354|g__GGB3304|s__GGB3304_SGB4367
Clostridia_bacterium_UC5_1_1D1	Clostridia_unclassified	Clostridia_unclassified	Clostridia_unclassified	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_bacterium_UC5_1_1D1
Pseudoruminococcus_massiliensis	Pseudoruminococcus	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Pseudoruminococcus|s__Pseudoruminococcus_massiliensis
Prevotella_sp_885	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_885
GGB9453_SGB14845	GGB9453	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9453|s__GGB9453_SGB14845
GGB2987_SGB3969	GGB2987	Eubacteriales_Family_XIII_Incertae_Sedis	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__GGB2987|s__GGB2987_SGB3969
Candidatus_Timburyella_SGB14166	Candidatus_Timburyella	Clostridia_unclassified	Clostridia_unclassified	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Timburyella|s__Candidatus_Timburyella_SGB14166
GGB9760_SGB15373	GGB9760	Eubacteriales_unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__GGB9760|s__GGB9760_SGB15373
GGB3444_SGB4594	GGB3444	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3444|s__GGB3444_SGB4594
Citrobacter_freundii	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_freundii
Ruminococcus_SGB4421	Ruminococcus	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_SGB4421
GGB9480_SGB14875	GGB9480	FGB3012	OFGB3012	CFGB3012	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012|f__FGB3012|g__GGB9480|s__GGB9480_SGB14875
GGB3478_SGB4643	GGB3478	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB3478|s__GGB3478_SGB4643
GGB9667_SGB15164	GGB9667	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9667|s__GGB9667_SGB15164
GGB3005_SGB3996	GGB3005	FGB1227	OFGB1227	CFGB1227	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227|g__GGB3005|s__GGB3005_SGB3996
Enterocloster_asparagiformis	Enterocloster	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_asparagiformis
GGB9457_SGB14849	GGB9457	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9457|s__GGB9457_SGB14849
Eubacterium_sp_An11	Eubacterium	Eubacteriaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_An11
Candidatus_Pseudoscilispira_faecavium	Candidatus_Pseudoscilispira	Clostridia_unclassified	Clostridia_unclassified	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Pseudoscilispira|s__Candidatus_Pseudoscilispira_faecavium
GGB9534_SGB14937	GGB9534	Clostridia_unclassified	Clostridia_unclassified	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9534|s__GGB9534_SGB14937
Candidatus_Avimonas_narfia	Candidatus_Avimonas	Clostridia_unclassified	Clostridia_unclassified	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Avimonas|s__Candidatus_Avimonas_narfia
GGB9530_SGB14930	GGB9530	Clostridia_unclassified	Clostridia_unclassified	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9530|s__GGB9530_SGB14930
GGB32900_SGB53446	GGB32900	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB32900|s__GGB32900_SGB53446
Candidatus_Metaruminococcus_gallistercoris	Candidatus_Metaruminococcus	Clostridia_unclassified	Clostridia_unclassified	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Metaruminococcus|s__Candidatus_Metaruminococcus_gallistercoris
Clostridiales_bacterium_NSJ_32	Eubacteriales_unclassified	Eubacteriales_unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified|s__Clostridiales_bacterium_NSJ_32
Christensenellaceae_bacterium_NSJ_44	Christensenellaceae_unclassified	Christensenellaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__Christensenellaceae_unclassified|s__Christensenellaceae_bacterium_NSJ_44
GGB9342_SGB14306	GGB9342	FGB2982	OFGB2982	CFGB2982	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342|s__GGB9342_SGB14306
GGB9345_SGB14311	GGB9345	FGB10477	OFGB10477	CFGB10477	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__CFGB10477|o__OFGB10477|f__FGB10477|g__GGB9345|s__GGB9345_SGB14311
GGB3733_SGB5066	GGB3733	FGB29420	OFGB29420	CFGB29420	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__CFGB29420|o__OFGB29420|f__FGB29420|g__GGB3733|s__GGB3733_SGB5066
GGB9350_SGB14317	GGB9350	FGB2985	OFGB2985	CFGB2985	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__CFGB2985|o__OFGB2985|f__FGB2985|g__GGB9350|s__GGB9350_SGB14317
GGB9715_SGB15265	GGB9715	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9715|s__GGB9715_SGB15265
Bacteroides_eggerthii	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii
GGB9694_SGB15204	GGB9694	Clostridia_unclassified	Clostridia_unclassified	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9694|s__GGB9694_SGB15204
Methanomassiliicoccus_SGB58821	Methanomassiliicoccus	Methanomassiliicoccaceae	Methanomassiliicoccales	Thermoplasmata	Candidatus_Thermoplasmatota	Archaea	k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Methanomassiliicoccus_SGB58821
Vescimonas_SGB15087	Vescimonas	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Vescimonas|s__Vescimonas_SGB15087
Clostridiaceae_bacterium_Marseille_Q4149	Clostridiaceae_unclassified	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_Marseille_Q4149
Cloacibacillus_evryensis	Cloacibacillus	Synergistaceae	Synergistales	Synergistia	Synergistetes	Bacteria	k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus|s__Cloacibacillus_evryensis
Ruminococcaceae_bacterium_D5	Oscillospiraceae_unclassified	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Ruminococcaceae_bacterium_D5
GGB4750_SGB6579	GGB4750	FGB4862	OFGB4862	CFGB4862	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__CFGB4862|o__OFGB4862|f__FGB4862|g__GGB4750|s__GGB4750_SGB6579
Parabacteroides_goldsteinii	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii
Oscillospiraceae_unclassified_SGB15256	Oscillospiraceae_unclassified	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Oscillospiraceae_unclassified_SGB15256
Anaerotruncus_massiliensis	Anaerotruncus	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaerotruncus|s__Anaerotruncus_massiliensis
